fng_value,Close
81,3703.2294921875
84,3705.705322265625
78,3593.494384765625
77,3579.8115234375
75,3657.249267578125
79,3326.517333984375
82,3413.5439453125
80,3363.659912109375
93,3396.223388671875
94,3331.600830078125
82,3361.053955078125
83,3072.18798828125
90,3111.384033203125
83,3207.8564453125
90,3075.66162109375
86,3133.27392578125
80,3103.04052734375
88,3058.94873046875
84,3192.595947265625
80,3246.25732421875
76,3374.81298828125
78,3191.331298828125
75,3131.14453125
75,2962.296630859375
77,2895.58544921875
70,2724.169189453125
70,2422.650634765625
70,2397.0263671875
74,2456.42529296875
72,2491.068603515625
75,2511.885498046875
77,2515.79931640625
77,2657.37255859375
72,2637.95751953125
72,2565.34814453125
74,2505.940673828125
72,2435.93408203125
69,2534.49853515625
71,2509.098876953125
70,2620.197509765625
72,2665.712158203125
73,2746.364013671875
72,2648.656982421875
73,2641.55224609375
71,2604.2734375
73,2611.10205078125
65,2606.02197265625
48,2628.89990234375
50,2467.677001953125
49,2476.523193359375
32,2436.513427734375
39,2383.85791015625
49,2368.283447265625
49,2439.8408203125
50,2421.796630859375
50,2439.957763671875
49,2415.6318359375
41,2414.7939453125
37,2349.791259765625
42,2365.231689453125
50,2448.921142578125
61,2603.062744140625
63,2659.346923828125
64,2677.5390625
61,2695.900634765625
50,2632.199951171875
59,2579.388671875
54,2654.35498046875
50,2648.54638671875
52,2582.862548828125
54,2615.857177734375
54,2561.072021484375
49,2464.752197265625
45,2369.72900390625
33,2341.707763671875
39,2295.28369140625
51,2320.897216796875
50,2418.595703125
32,2441.607177734375
31,2361.78173828125
37,2339.841552734375
33,2389.5810546875
26,2358.482177734375
29,2297.29296875
23,2274.107177734375
22,2223.87646484375
29,2367.737548828125
27,2448.97705078125
26,2420.603759765625
26,2538.187255859375
26,2427.90234375
29,2513.393798828125
34,2525.822021484375
29,2528.792724609375
30,2528.41552734375
48,2458.7265625
55,2681.340576171875
54,2749.15771484375
56,2769.3896484375
34,2764.447021484375
39,2622.951416015625
26,2631.3955078125
30,2573.10693359375
28,2637.306396484375
31,2613.357177734375
25,2614.546875
27,2593.1865234375
29,2570.087646484375
30,2662.914794921875
31,2703.671875
25,2724.431884765625
39,2553.252197265625
40,2610.02294921875
48,2599.5986328125
20,2683.352783203125
29,2336.58935546875
17,2458.723876953125
26,2417.206298828125
34,2686.39892578125
37,2903.3857421875
57,2986.01318359375
52,3201.564453125
61,3231.295654296875
67,3278.667724609375
74,3320.539306640625
71,3271.464599609375
72,3247.60791015625
68,3275.951416015625
68,3174.42724609375
69,3336.33935546875
71,3481.995849609375
70,3440.419921875
74,3536.60546875
74,3519.29541015625
60,3505.73486328125
61,3426.258544921875
69,3388.75244140625
65,3443.513427734375
52,3489.552734375
33,3244.0791015625
25,3177.19873046875
25,3134.15869140625
29,3100.330810546875
28,3102.21875
27,3064.032958984375
28,3018.73193359375
29,2929.38720703125
26,3069.3779296875
29,2981.5986328125
44,3054.52197265625
50,3292.916748046875
51,3416.354736328125
53,3440.341552734375
47,3432.88916015625
30,3372.9677734375
47,3373.635986328125
40,3444.800537109375
46,3369.477294921875
30,3395.029052734375
51,3350.25634765625
55,3418.61181640625
53,3494.8134765625
63,3516.07568359375
60,3511.0869140625
64,3559.347412109375
74,3483.681396484375
71,3511.37890625
71,3620.5634765625
74,3565.549560546875
74,3480.27197265625
70,3469.28125
72,3559.61767578125
74,3498.33056640625
72,3666.717529296875
75,3705.90380859375
72,3680.949951171875
77,3678.629150390625
78,3811.60595703125
75,3864.260986328125
73,3812.515869140625
73,3766.38916015625
73,3780.89599609375
72,3813.198974609375
73,3760.026611328125
73,3746.849609375
72,3763.196533203125
72,3840.25634765625
74,3892.0068359375
75,3825.8974609375
76,3749.236572265625
74,3726.9345703125
76,3776.92724609375
76,3737.2177734375
76,3789.312744140625
70,3663.85546875
72,3071.843017578125
73,3122.948974609375
74,3094.11865234375
70,2945.131103515625
64,3037.056640625
66,2881.157958984375
57,2949.359619140625
56,2928.701904296875
53,2911.60205078125
66,2909.791259765625
55,3036.0205078125
64,2973.6572265625
68,3006.5771484375
71,3062.728759765625
69,3137.2490234375
67,3117.576416015625
48,3103.5419921875
43,2988.16845703125
54,2969.78466796875
67,3012.286865234375
67,3215.428955078125
65,3262.774658203125
67,3252.168212890625
70,3130.164794921875
72,3156.509521484375
72,3139.80517578125
71,3219.91162109375
73,3201.652099609375
72,3147.28857421875
66,3157.627197265625
66,3059.278564453125
57,3066.027587890625
67,2984.7275390625
65,3084.920166015625
74,3101.600341796875
72,3156.94189453125
72,3004.900390625
79,3243.034912109375
76,3505.247802734375
78,3543.737060546875
80,3505.163330078125
76,3695.292724609375
78,3453.49462890625
75,3354.183837890625
79,3318.88525390625
70,3330.04052734375
71,3311.44189453125
79,3277.234619140625
79,3505.030029296875
75,3647.8564453125
75,3507.9443359375
79,3511.80615234375
80,3561.2939453125
83,3500.115234375
81,3587.5048828125
75,3590.8837890625
74,3454.636474609375
73,3336.593994140625
75,3333.68798828125
78,3492.9912109375
74,3513.39306640625
79,3157.6181640625
77,3517.985107421875
79,3642.4130859375
81,3522.860107421875
83,3735.22021484375
88,3883.140380859375
81,4006.45703125
81,3980.273193359375
82,4066.445068359375
79,3881.193115234375
84,3915.4189453125
81,3892.06103515625
82,3874.34765625
75,3819.226318359375
90,3554.964599609375
82,3630.433837890625
83,3490.99365234375
80,3422.0498046875
80,3435.053955078125
80,3341.919677734375
82,3385.703857421875
79,3244.519287109375
72,3178.99365234375
74,3112.697265625
72,2992.385986328125
76,2921.658203125
74,2971.00732421875
78,2970.35546875
72,3013.503662109375
75,2943.57470703125
72,2878.998046875
76,2786.672607421875
72,2803.69140625
72,2824.37890625
74,2777.90234375
79,2642.185302734375
70,2658.115966796875
71,2507.570556640625
74,2501.228271484375
72,2487.515625
66,2419.906494140625
62,2423.7451171875
64,2372.201904296875
60,2298.888916015625
60,2289.546142578125
60,2296.038330078125
63,2308.0380859375
63,2303.82470703125
60,2282.54443359375
61,2344.49365234375
55,2317.064208984375
54,2257.208740234375
55,2267.885986328125
49,2267.19970703125
52,2217.710205078125
48,2233.561767578125
50,2240.68603515625
55,2310.826416015625
56,2453.9130859375
52,2469.589111328125
51,2489.49853515625
63,2467.018798828125
60,2528.369384765625
64,2587.691162109375
52,2511.36376953125
60,2472.2412109375
64,2576.597900390625
71,2524.460205078125
76,2619.619140625
73,2582.103515625
76,2344.8271484375
71,2333.03271484375
71,2222.865966796875
70,2241.624755859375
72,2268.647216796875
68,2269.0380859375
70,2210.761962890625
71,2355.83642578125
65,2352.327880859375
67,2281.47119140625
68,2292.0654296875
65,2300.690673828125
73,2347.566162109375
73,2378.739990234375
71,2231.46533203125
73,2272.561767578125
71,2265.692138671875
70,2309.04638671875
74,2326.52490234375
70,2239.54248046875
74,2201.911376953125
73,2177.87255859375
65,2217.2734375
73,2196.481201171875
67,2226.926513671875
70,2219.33740234375
72,2316.5791015625
65,2260.648681640625
67,2202.0380859375
74,2224.578857421875
74,2352.462646484375
73,2341.17529296875
72,2358.73193359375
72,2357.57958984375
72,2231.661376953125
75,2293.841796875
74,2243.2158203125
73,2193.691650390625
74,2165.7041015625
71,2087.139892578125
74,2052.55615234375
72,2029.92919921875
68,2049.338134765625
66,2027.4173583984373
73,2063.2861328125
73,2084.4130859375
66,2081.152099609375
66,2062.210693359375
62,2064.42529296875
71,1937.0667724609373
69,2022.2391357421875
66,2013.2044677734373
69,1963.2850341796875
63,1961.28076171875
70,1960.881591796875
60,2060.408447265625
69,1979.0526123046875
72,2055.265380859375
73,2045.18701171875
70,2052.7138671875
70,2078.289794921875
69,2120.56103515625
66,1889.3223876953125
68,1888.124267578125
74,1899.83740234375
70,1894.15771484375
68,1857.6986083984373
65,1832.795166015625
72,1800.6209716796875
66,1847.0897216796875
66,1816.458984375
68,1810.088623046875
72,1795.5460205078125
65,1776.6181640625
70,1780.0452880859375
71,1804.039306640625
72,1787.3975830078125
66,1784.4375
53,1765.3826904296875
53,1663.429931640625
63,1629.304443359375
53,1604.6668701171875
52,1567.45703125
50,1563.7498779296875
52,1565.4395751953125
47,1600.5343017578125
45,1558.06982421875
47,1555.2568359375
44,1552.0894775390625
45,1539.6124267578125
47,1566.2547607421875
50,1567.7130126953125
50,1579.806640625
50,1633.548583984375
49,1634.51123046875
50,1645.83154296875
48,1611.4764404296875
49,1647.838134765625
50,1656.6856689453125
50,1663.6275634765625
48,1733.8104248046875
47,1671.161865234375
48,1667.94384765625
46,1652.8826904296875
44,1597.4912109375
46,1593.417236328125
47,1588.3228759765625
44,1580.8533935546875
47,1593.8577880859375
43,1593.268310546875
47,1584.3070068359375
47,1622.890625
46,1643.544677734375
46,1637.3470458984375
46,1622.896728515625
43,1635.2216796875
45,1641.640380859375
45,1626.974365234375
41,1607.988525390625
30,1592.429443359375
40,1551.6376953125
40,1616.828857421875
41,1635.162353515625
46,1636.1378173828125
41,1647.5982666015625
42,1632.2523193359375
40,1633.62939453125
40,1629.6552734375
40,1636.11767578125
39,1637.025390625
40,1628.4912109375
52,1645.63916015625
49,1705.1121826171875
39,1729.7257080078125
39,1652.4573974609375
38,1657.5130615234375
38,1646.3067626953125
39,1652.93505859375
41,1659.944580078125
37,1679.2744140625
37,1633.892578125
38,1667.26904296875
37,1684.85205078125
39,1669.471923828125
37,1660.945068359375
50,1684.9334716796875
52,1805.6590576171875
53,1826.9327392578125
50,1844.185791015625
54,1839.2801513671875
54,1848.889892578125
51,1847.1243896484373
53,1850.75341796875
50,1854.297607421875
54,1855.807373046875
49,1826.9388427734373
49,1827.4620361328125
50,1834.9879150390625
54,1827.712890625
52,1835.136474609375
53,1839.0897216796875
53,1871.7921142578125
50,1856.162353515625
52,1861.643798828125
52,1881.06884765625
52,1874.744873046875
51,1860.357177734375
51,1872.159912109375
50,1857.741943359375
55,1850.0020751953125
54,1889.191650390625
52,1864.912353515625
50,1892.080078125
56,1890.9691162109373
50,1889.0079345703125
56,1897.5992431640625
54,1911.6461181640625
57,1923.681884765625
56,1931.466552734375
60,1939.3470458984373
57,2006.511474609375
64,1872.11376953125
57,1878.3360595703125
56,1880.556396484375
55,1863.009765625
58,1865.53955078125
55,1870.6025390625
56,1848.636474609375
61,1910.5880126953125
64,1936.633544921875
62,1955.38916015625
63,1937.4383544921875
59,1924.56591796875
56,1933.18896484375
54,1852.227294921875
62,1827.97119140625
59,1889.703369140625
55,1859.432861328125
64,1900.506103515625
62,1876.0596923828125
65,1892.862060546875
65,1872.9429931640625
59,1891.0072021484373
49,1792.1199951171875
47,1737.659423828125
49,1720.5775146484375
47,1727.2041015625
47,1716.6688232421875
41,1665.519775390625
46,1650.519287109375
45,1739.03759765625
47,1742.5286865234375
47,1753.415283203125
49,1752.384765625
50,1840.2252197265625
50,1846.3018798828125
53,1832.39599609375
44,1884.494873046875
53,1811.828369140625
52,1890.5135498046875
53,1892.4124755859373
50,1907.256591796875
52,1862.201416015625
51,1874.1304931640625
51,1901.026611328125
52,1893.078125
50,1910.9141845703125
48,1831.1182861328125
49,1828.689697265625
51,1805.9537353515625
50,1800.0999755859375
50,1854.380615234375
49,1817.5347900390625
52,1804.5313720703125
48,1820.47802734375
48,1812.5894775390625
51,1801.728515625
50,1821.859619140625
54,1824.1214599609373
50,1817.5499267578125
48,1800.5009765625
48,1796.1148681640625
49,1808.019775390625
52,1796.4906005859375
52,1842.4014892578125
51,1848.6031494140625
60,1849.042724609375
64,1873.076416015625
60,1900.2218017578125
61,1995.0609130859373
64,1877.7041015625
64,1904.65185546875
55,1870.789306640625
63,1831.954833984375
60,1876.92431640625
64,1908.9169921875
64,1892.5128173828125
59,1908.786376953125
56,1866.564208984375
53,1866.753662109375
53,1842.7574462890625
56,1862.06201171875
53,1874.2286376953125
50,1849.9998779296875
52,1943.09765625
63,1936.4034423828125
58,2104.537353515625
69,2076.242919921875
68,2120.005859375
68,2092.466796875
68,2101.635498046875
61,2012.6346435546875
65,1920.68212890625
68,1892.189697265625
62,1911.20751953125
61,1859.3878173828125
61,1849.4981689453125
64,1865.6361083984373
63,1872.922607421875
62,1909.114013671875
62,1871.005126953125
63,1810.297119140625
63,1795.7081298828125
61,1813.860595703125
63,1822.0220947265625
60,1792.7371826171875
57,1793.0018310546875
59,1772.78564453125
64,1715.4608154296875
64,1775.6767578125
64,1743.7647705078125
61,1752.0447998046875
57,1816.4051513671875
62,1737.717041015625
68,1806.7607421875
66,1735.3212890625
63,1785.5765380859375
64,1761.65966796875
51,1792.485107421875
52,1677.2154541015625
50,1656.1805419921875
56,1703.507080078125
49,1680.3089599609375
33,1590.29296875
33,1482.61669921875
34,1429.1580810546875
44,1438.6607666015625
50,1534.0882568359375
49,1561.93310546875
48,1567.398681640625
47,1564.46875
50,1566.9239501953125
50,1569.1676025390625
51,1647.3193359375
50,1663.4337158203125
53,1605.8951416015625
50,1634.326416015625
51,1640.817138671875
52,1594.9149169921875
53,1608.3731689453125
56,1651.0738525390625
59,1643.231689453125
60,1658.036376953125
58,1702.6751708984375
60,1681.4361572265625
60,1691.8194580078125
61,1694.7833251953125
62,1640.067626953125
53,1673.7459716796875
50,1556.8751220703125
48,1507.1658935546875
50,1515.03369140625
49,1539.9267578125
48,1514.869140625
55,1546.438232421875
58,1650.716796875
54,1672.0035400390625
56,1616.2470703125
58,1631.6458740234375
58,1667.0592041015625
60,1664.74560546875
60,1643.2415771484375
56,1641.792724609375
51,1586.535400390625
61,1567.3265380859375
55,1646.1556396484375
52,1572.43505859375
55,1598.156494140625
54,1603.10595703125
51,1611.7110595703125
52,1556.604248046875
50,1628.2510986328125
53,1628.382080078125
53,1627.1181640625
51,1659.754150390625
45,1552.5565185546875
52,1515.5069580078125
51,1567.8460693359375
45,1576.83349609375
52,1552.4794921875
46,1550.7069091796875
31,1451.6148681640625
30,1417.9384765625
26,1387.9327392578125
26,1336.5860595703125
25,1321.5389404296875
25,1287.3594970703125
25,1264.2703857421875
26,1269.3790283203125
29,1250.4385986328125
29,1256.526611328125
26,1214.77880859375
27,1214.6566162109375
26,1200.96484375
